#,Time,Event,Type,Presenter,Location
type,dct:time,dct:title,rdf:type,http://id.loc.gov/vocabulary/relators/pre,http://linkedevents.org/ontology/atPlace
,2014-08-25T09:00:00+02:00,Introduction,,,
,2014-08-25T09:15:00+02:00,Keynote,http://purl.org/wiss2014/vocab/#Keynote,http://purl.org/wiss2014/presenters/#stefan,
,2014-08-25T10:15:00+02:00,Coffee break,http://purl.org/wiss2014/vocab/#CoffeeBreak,,
,2014-08-25T10:30:00+02:00,Publishing Web Data 1,http://purl.org/wiss2014/vocab/#Tutorial,,
,2014-08-25T12:00:00+02:00,Lunch break,,,
,2014-08-25T13:30:00+02:00,Publishing Web Data 2,http://purl.org/wiss2014/vocab/#Tutorial,,
,2014-08-25T15:00:00+02:00,Hackathon presentation,http://purl.org/wiss2014/vocab/#Hackathon,,
,2014-08-25T16:00:00+02:00,Coffee break,http://purl.org/wiss2014/vocab/#CoffeeBreak,,
,2014-08-25T16:30:00+02:00,Poster session,,,
,2014-08-25T18:00:00+02:00,Welcome dinner,http://purl.org/wiss2014/vocab/#Dinner,,
,2014-08-26T09:00:00+02:00,Keynote,http://purl.org/wiss2014/vocab/#Keynote,http://purl.org/wiss2014/presenters/#soeren,
,2014-08-26T10:00:00+02:00,Coffee break,http://purl.org/wiss2014/vocab/#CoffeeBreak,,
,2014-08-26T10:15:00+02:00,Querying the Web of Data with SPARQL and XSPARQL,http://purl.org/wiss2014/vocab/#Tutorial,http://purl.org/wiss2014/presenters/#axel,
,2014-08-26T12:00:00+02:00,Lunch break,,,
,2014-08-26T13:30:00+02:00, Provenance on the Web through the lens of PROV,http://purl.org/wiss2014/vocab/#Tutorial,http://purl.org/wiss2014/presenters/#paul,
,2014-08-26T15:00:00+02:00,Coffee break,http://purl.org/wiss2014/vocab/#CoffeeBreak,,
,2014-08-26T15:30:00+02:00,“Understanding” Web Data – Named Entity Resolution,http://purl.org/wiss2014/vocab/#Tutorial,http://purl.org/wiss2014/presenters/#harald,
,2014-08-26T18:00:00+02:00,Hackathon dinner,http://purl.org/wiss2014/vocab/#Dinner;http://purl.org/wiss2014/vocab/#Hackathon,,Maison des Élèves
,2014-08-27T09:00:00+02:00,Wikidata,http://purl.org/wiss2014/vocab/#Keynote,http://purl.org/wiss2014/presenters/#markus,
,2014-08-27T10:00:00+02:00,Coffee break,http://purl.org/wiss2014/vocab/#CoffeeBreak,,
,2014-08-27T10:15:00+02:00,Working with Wikidata: A Hands-on Guide for Researchers and Developers,http://purl.org/wiss2014/vocab/#Tutorial,http://purl.org/wiss2014/presenters/#markus,
,2014-08-27T12:00:00+02:00,Lunch break,,,
,2014-08-27T13:30:00+02:00,Hiking and archery,http://purl.org/wiss2014/vocab/#OutdoorEvent,,Château d'Essalois
,2014-08-27T18:00:00+02:00,Social dinner,http://purl.org/wiss2014/vocab/#Dinner,,Domaine d'Essalois
,2014-08-28T09:00:00+02:00,"Usability, Visual Interference & the Web of Data",http://purl.org/wiss2014/vocab/#Tutorial,Aba-Sah Dadzie,
,2014-08-28T10:30:00+02:00,Coffee break,http://purl.org/wiss2014/vocab/#CoffeeBreak,,
,2014-08-28T10:45:00+02:00,Privacy in the Web of Data,http://purl.org/wiss2014/vocab/#Tutorial,Mathieu d'Aquin,
,2014-08-28T12:00:00+02:00,Lunch break,,,
,2014-08-28T13:30:00+02:00,Hackathon,http://purl.org/wiss2014/vocab/#Hackathon,,
,2014-08-28T18:00:00+02:00,Hackathon until late in the night,http://purl.org/wiss2014/vocab/#Dinner;http://purl.org/wiss2014/vocab/#Hackathon,,
,2014-08-29T09:00:00+02:00,W3C Data Trajectory,http://purl.org/wiss2014/vocab/#Keynote,Eric Prud'hommeaux,
,2014-08-29T10:00:00+02:00,Coffee break,http://purl.org/wiss2014/vocab/#CoffeeBreak,,
,2014-08-29T10:15:00+02:00,Presentation of hackathon results,http://purl.org/wiss2014/vocab/#Hackathon,,
,2014-08-29T11:45:00+02:00,Conclusion,,,
