ID,Name,Affiliation,Town,Country
http://ecole.web-intelligence-rhone-alpes.org/presenters/#soeren,Sören Auer,Universität Bonn;Fraunhofer IAIS,Bonn,Germany
http://ecole.web-intelligence-rhone-alpes.org/presenters/#mathieu,Mathieu d'Aquin,,Milton Keynes,UK
http://ecole.web-intelligence-rhone-alpes.org/presenters/#aba-sah,Aba-Sah Dadzie,University of Birmingham,Birmingham,UK
http://ecole.web-intelligence-rhone-alpes.org/presenters/#jerome,Jérôme David,Université Pierre-Mendès-France;INRIA-LIG,Grenoble,France
http://ecole.web-intelligence-rhone-alpes.org/presenters/#stefan,Stefan Decker,INSIGHT;National University of Ireland,Galway,Ireland
http://ecole.web-intelligence-rhone-alpes.org/presenters/#paul,Paul Groth,VU Amsterdam,Amsterdam,Netherlands
http://ecole.web-intelligence-rhone-alpes.org/presenters/#markus,Markus Krötzsch,TU Dresden,Dresden,Germany
http://ecole.web-intelligence-rhone-alpes.org/presenters/#christoph,Christoph Lange,Universität Bonn;Fraunhofer IAIS,Bonn,Germany
http://ecole.web-intelligence-rhone-alpes.org/presenters/#axel,Axel Polleres,WU Wien,Vienna,Austria
http://ecole.web-intelligence-rhone-alpes.org/presenters/#eric,Eric Prud'hommeaux,W3C,,
http://ecole.web-intelligence-rhone-alpes.org/presenters/#harald,Harald Sack,"HPI, Universität Potsdam",Potsdam,Germany
http://ecole.web-intelligence-rhone-alpes.org/presenters/#thomas,Thomas Steiner,Université Lyon;Google,Lyon,France
http://ecole.web-intelligence-rhone-alpes.org/presenters/#antoine,Antoine Zimmermann,École des mines de Saint-Étienne,Saint-Étienne,France
